0,       0.00000000e+00,       0.00000000e+00,       0.00000000e+00,       0.00000000e+00,       0.00000000e+00,       0.00000000e+00,       0.00000000e+00,       0.00000000e+00
1,      -3.33333330e-04,      -3.33333330e-04,      -3.33333330e-04,      -8.33333358e-02,      -8.33333358e-02,      -8.33333358e-02,       0.00000000e+00,      -8.33333333e-02
2,      -6.66666660e-04,      -6.66666660e-04,      -6.66666660e-04,      -1.66666672e-01,      -1.66666672e-01,      -1.66666672e-01,       0.00000000e+00,      -1.66666667e-01
3,      -1.16666663e-03,      -1.16666663e-03,      -1.16666663e-03,      -2.91666657e-01,      -2.91666657e-01,      -2.91666657e-01,       0.00000000e+00,      -2.91666667e-01
4,      -1.91666663e-03,      -1.91666663e-03,      -1.91666663e-03,      -4.79166657e-01,      -4.79166657e-01,      -4.79166657e-01,       0.00000000e+00,      -4.79166667e-01
5,      -3.04166670e-03,      -3.04166670e-03,      -3.04166670e-03,      -7.60416687e-01,      -7.60416687e-01,      -7.60416687e-01,       0.00000000e+00,      -7.60416667e-01
6,      -4.72916663e-03,      -4.72916663e-03,      -4.72916663e-03,      -1.18229163e+00,      -1.18229163e+00,      -1.18229163e+00,       0.00000000e+00,      -1.18229167e+00
7,      -6.72916649e-03,      -6.72916649e-03,      -6.72916649e-03,      -1.68229163e+00,      -1.68229163e+00,      -1.68229163e+00,       0.00000000e+00,      -1.68229167e+00
8,      -8.72916635e-03,      -8.72916635e-03,      -8.72916635e-03,      -2.18229175e+00,      -2.18229175e+00,      -2.18229175e+00,       0.00000000e+00,      -2.18229167e+00
9,      -1.07291667e-02,      -1.07291667e-02,      -1.07291667e-02,      -2.68229175e+00,      -2.68229175e+00,      -2.68229175e+00,       0.00000000e+00,      -2.68229167e+00
10,      -1.27291670e-02,      -1.27291670e-02,      -1.27291670e-02,      -3.18229175e+00,      -3.18229175e+00,      -3.18229175e+00,       0.00000000e+00,      -3.18229167e+00
11,      -1.47291664e-02,      -1.47291664e-02,      -1.47291664e-02,      -3.68229175e+00,      -3.68229175e+00,      -3.68229175e+00,       0.00000000e+00,      -3.68229167e+00
12,      -1.67291667e-02,      -1.67291667e-02,      -1.67291667e-02,      -4.18229151e+00,      -4.18229151e+00,      -4.18229151e+00,       0.00000000e+00,      -4.18229167e+00
13,      -1.87291671e-02,      -1.87291671e-02,      -1.87291671e-02,      -4.68229151e+00,      -4.68229151e+00,      -4.68229151e+00,       0.00000000e+00,      -4.68229167e+00
14,      -1.99999996e-02,      -1.99999996e-02,      -1.99999996e-02,      -5.00000000e+00,      -5.00000000e+00,      -5.00000000e+00,       0.00000000e+00,      -5.00000000e+00
15,      -1.99999996e-02,      -1.99999996e-02,      -1.99999996e-02,      -5.00000000e+00,      -5.00000000e+00,      -5.00000000e+00,       0.00000000e+00,      -5.00000000e+00
16,      -1.95000004e-02,      -1.95000004e-02,      -2.16666665e-02,      -5.00000000e+00,      -5.00000000e+00,      -5.16666651e+00,       1.66666508e-01,      -5.05555534e+00
17,      -1.89999994e-02,      -1.89999994e-02,      -2.33333334e-02,      -5.00000000e+00,      -5.00000000e+00,      -5.33333349e+00,       3.33333492e-01,      -5.11111132e+00
18,      -1.82499997e-02,      -1.82499997e-02,      -2.58333329e-02,      -5.00000000e+00,      -5.00000000e+00,      -5.58333349e+00,       5.83333492e-01,      -5.19444466e+00
19,      -1.71249993e-02,      -1.71249993e-02,      -2.95833331e-02,      -5.00000000e+00,      -5.00000000e+00,      -5.95833349e+00,       9.58333492e-01,      -5.31944466e+00
20,      -1.54374996e-02,      -1.54374996e-02,      -3.52083333e-02,      -5.00000000e+00,      -5.00000000e+00,      -6.52083349e+00,       1.52083349e+00,      -5.50694466e+00
21,      -1.29062496e-02,      -1.29062496e-02,      -4.36458327e-02,      -5.00000000e+00,      -5.00000000e+00,      -7.36458349e+00,       2.36458349e+00,      -5.78819466e+00
22,      -9.27973539e-03,      -9.27973539e-03,      -5.36458343e-02,      -5.01592636e+00,      -5.01592636e+00,      -8.01947308e+00,       3.00354671e+00,      -6.01710892e+00
23,      -4.20410465e-03,      -4.20410465e-03,      -6.36458322e-02,      -5.00000000e+00,      -5.00000000e+00,      -8.01351070e+00,       3.01351070e+00,      -6.00450389e+00
24,       7.76093220e-04,       7.76093220e-04,      -7.36458302e-02,      -5.00000000e+00,      -5.00000000e+00,      -8.02341175e+00,       3.02341175e+00,      -6.00780360e+00
25,       5.75629110e-03,       5.75629110e-03,      -8.36458355e-02,      -5.00000000e+00,      -5.00000000e+00,      -8.03331280e+00,       3.03331280e+00,      -6.01110458e+00
26,       1.07364897e-02,       1.07364897e-02,      -9.36458334e-02,      -5.00000000e+00,      -5.00000000e+00,      -8.04321384e+00,       3.04321384e+00,      -6.01440430e+00
27,       1.57166868e-02,       1.57166868e-02,      -1.03645831e-01,      -5.00000000e+00,      -5.00000000e+00,      -8.05311489e+00,       3.05311489e+00,      -6.01770528e+00
28,       2.06968859e-02,       2.06968859e-02,      -1.13645837e-01,      -5.00000000e+00,      -5.00000000e+00,      -8.06301594e+00,       3.06301594e+00,      -6.02100499e+00
29,       2.38613859e-02,       2.38613859e-02,      -1.19999997e-01,      -5.00000000e+00,      -5.00000000e+00,      -8.06930733e+00,       3.06930733e+00,      -6.02310244e+00
